DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW)
05-03,0.8992841681699224,14915.42069077897,1787.2079261667404,409.24170434265807,3192.092079140112
05-04,0.6245092242193754,13586.044457424712,1812.5551191248496,-102.57931533693255,3063.540094756136
05-05,0.6756281158852675,14855.537891389455,2425.8956584626058,934.9391600910666,2693.075433268445
05-06,-0.06389568651276846,15822.11782241877,2662.5559629667036,2812.1802186893433,2817.08084223085
05-07,-0.11958224168314563,15913.233174191711,2644.6702792124843,4217.828146172151,2945.317347083664
05-08,0.7052783329573051,11971.455375279731,1856.9200162019044,2176.4731186647464,2194.874767787752
05-09,1.0082980726336341,17349.099885565396,2513.861338318525,14.157104855972875,1758.2454957325454
05-10,1.1606291299877185,18426.259464344213,2711.4183160124476,968.0615098338998,1766.7050025423077
05-11,0.3266586543998591,17506.158769150414,2630.615998207348,3198.523261191465,1414.0072490780983
05-12,-0.21084231694794808,13525.851420336285,1650.3025258034222,3478.9761045255455,1338.0273390581146
05-13,1.424075009160214,11595.841918880267,1308.1326933212151,2144.879609307777,1037.8218517387204
05-14,0.7323716568600253,17939.504041690412,2221.0215692538845,4009.388871428565,952.0574994486808
05-15,0.9368776979062172,15212.432700704063,2178.2673923489815,4523.983507326251,219.42883796098542
05-16,1.7674448935512341,16112.575058347855,2299.0036264029804,736.4439357875339,924.9208222658597
05-17,1.744216264016865,19788.573384680483,2795.631836973613,-622.30583144588,1095.9935032439214
05-18,1.6479716527473356,19901.216720797853,2950.1391082096093,-3888.319309051128,1402.4807673922335
05-19,0.9741717577204678,19426.98804125964,2881.3759293477583,201.38789044735938,1395.21211373233
05-20,1.7548030433850548,19838.560927279166,2677.8213610534194,-1252.4681859837272,1891.9806264129347
05-21,0.38462529447690813,18938.99134754526,2523.1572037179835,-2871.611522688772,1644.5227007373742
05-22,0.5396887393065307,18550.175583858334,2294.8832616467394,-2945.6030942274997,1289.7726419894088
05-23,1.0432870830272167,18261.222833870022,2406.5709634111095,-2230.83857183274,1197.2629472336134
05-24,0.8359374489266369,15110.193762942386,2248.821483179392,-2074.161160983985,471.81370648956135
05-25,0.5658324332213606,13290.277020781878,1752.2348209515942,-1783.9517853602551,533.0305988179138
05-26,1.5805393875095617,15902.880826566567,2520.5644013852398,-1739.5472473099153,695.2894833184788
05-27,0.6191321865466206,18287.939818261235,2494.4963301554817,-1395.3818051500089,583.1530918894966
05-28,0.959678018851781,18355.1287512475,2662.7836405304183,-1546.069090974434,671.9076006562061
05-29,0.9732706548099102,18448.31181339226,2397.0016749758065,211.46271126376394,59.53134229962837
05-30,1.8781214447145487,19633.644777689668,2179.6655019847976,-370.24845714383576,449.29970233835496
05-31,2.622232671670721,20674.753084452826,1972.0357869194197,-577.3181695827475,348.2088803809943
06-01,2.216878960596887,21196.2277317248,1287.5140953374105,-404.47812076922025,44.816575057686414
06-02,1.6601059735935022,18369.883200914577,1074.624106299433,-2353.917797983075,417.15866112381036
06-03,1.7885717341439338,19858.735930378338,1803.0671896685003,-3543.1767198153375,-206.4462273697538
06-04,2.7952768945639024,19331.77300426479,1332.426907088451,-5178.489680786522,-685.0872880746649
06-05,1.2988992108873276,20176.507925509355,969.0042370328644,-160.21242257963502,224.6781130599497
06-06,1.039093118861112,19044.5833555602,835.6465376230641,3146.109454022558,369.7429505937848
06-07,1.4411958657129136,18329.47404979891,833.3350221663027,3997.1233462803193,-590.8268224398964
06-08,0.44540037381716086,14251.493119771465,546.1538393905579,5651.4733324715635,-778.833765727982
06-09,-0.04472176517578631,10544.79672986145,827.4047505482729,7935.341044690186,-769.7926463937564
06-10,2.343777100397477,7056.402101203863,430.9969532911194,3541.3760758911917,-1490.112959544855
06-11,0.4334922086321872,30.415691724364507,-660.5466560991088,489.92418732704493,-1569.6013196626868
06-12,0.7394079039510464,4016.008147215514,58.006016311055255,5033.92708545564,-1060.4200594282663
06-13,1.718247930646292,9961.135632060877,817.5097650421583,5878.525087302472,-1413.033257119481
06-14,0.6017797381634554,10460.811062111705,1194.1438464542757,3043.285891497624,-1172.0861299574658
06-15,1.214096118413822,12607.957725039254,1463.9188280620933,2884.989826808218,-1234.2204705058246
06-16,2.7764599546328768,15922.166618886577,1245.9094652472043,1961.8362043888815,-1230.4092376686663
06-17,1.4988975025283835,18606.624436412945,1207.865660162262,2120.1499400908815,-2210.81339426399
06-18,2.701479049119259,19343.19771382191,1100.5114832573593,765.8633665952242,-2366.627476495323
06-19,2.079407790752535,16492.205042111484,751.6672867829807,-3484.3103967243183,-2026.9965763391808
06-20,0.6038487633055756,14495.941920303227,591.6129141833593,-1557.1404888109828,-1039.0433395881262
06-21,1.682597465799908,13684.01343645973,722.0892656541909,-3560.231778549301,-752.3475235807124
06-22,1.048114596213353,14545.268905649513,714.5390026436106,-999.3013226907435,-1002.5571987670334
06-23,1.026109874050151,15124.193259379408,621.8983286741254,896.9144404085029,-1771.9195432292906
06-24,1.433497193635156,13712.740313696391,880.3222339609995,-2528.8496321086714,-853.4905178285269
06-25,0.7254365353988946,9415.675234940962,429.53204922830827,-5443.302342590635,-1365.232239981583
06-26,0.5364747029943358,10384.566711958538,581.6714143977686,-4561.203272250693,-1231.650909297063
